Company Name,Number of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
10% Nabil Debenture 2082,2,915.10,915.00,915.00,325.00,297380.00,930.00,-15.00 
10% Sunrise Debenture 2080,1,930.10,930.10,930.10,25.00,23252.50,940.00,-9.90 
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,933.00,932.00,932.00,550.00,512900.00,940.00,-8.00 
12 % Goodwill Finance Limited Debenture 2083,1,1010.00,1010.00,1010.00,200.00,202000.00,1015.00,-5.00 
12% ICFC Finance Limited Debenture 2083,2,1011.00,1010.00,1010.00,160.00,161616.00,1018.00,-8.00 
8.5% BOK Debenture 2086,1,762.00,762.00,762.00,25.00,19050.00,775.20,-13.20 
8.75 % Prime Debenture 2085,1,800.00,800.00,800.00,561.00,448800.00,791.20,8.80 
9% NIC Asia Debenture 2081/82,1,935.00,935.00,935.00,50.00,46750.00,929.90,5.10 
9.5% Manjushree Finance Limited Debenture 2085,1,850.00,850.00,850.00,25.00,21250.00,848.00,2.00 
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,41,891.00,865.00,870.00,897.00,787283.00,875.00,-5.00 
Adarsha Laghubitta Bittiya Sanstha Limited,2,267.10,267.10,267.10,10.00,2723.00,267.10,0.00 
Agricultural Development Bank Limited,187,322.90,318.00,319.90,14796.00,4740123.90,319.00,0.90 
Ankhu Khola Jalvidhyut Company Ltd,263,221.30,210.00,211.00,61947.00,13300340.80,215.00,-4.00 
Api Power Company Ltd.,759,269.00,258.10,258.10,116521.00,30517917.20,266.00,-7.90 
Arun Kabeli Power Ltd.,508,453.90,438.00,438.10,76863.00,34249677.20,445.00,-6.90 
Arun Valley Hydropower Development Co. Ltd.,404,364.90,349.10,350.00,86411.00,30842241.90,360.00,-10.00 
Asha Laghubitta Bittiya Sanstha Ltd,46,1221.00,1171.10,1183.00,2638.00,3143987.90,1210.00,-27.00 
Asian Life Insurance Co. Limited,151,608.00,592.00,598.00,18602.00,11155224.20,600.00,-2.00 
Balephi Hydropower Limited,264,346.80,334.00,334.10,11647.00,3913598.00,340.00,-5.90 
Barun Hydropower Co. Ltd.,95,284.00,278.10,284.00,6822.00,1914960.90,281.00,3.00 
Best Finance Company Ltd.,153,405.00,390.00,391.00,18966.00,7542844.80,396.00,-5.00 
Bindhyabasini Hydropower Development Company Limited,651,499.00,468.00,468.00,18162.00,8653948.50,477.00,-9.00 
Bishal Bazar Company Limited,8,3720.00,3673.00,3720.00,80.00,296569.00,3680.00,40.00 
Bottlers Nepal (Terai) Limited,37,14644.00,13901.00,13901.00,500.00,7078094.00,13800.00,101.00 
Buddha Bhumi Nepal Hydropower Company Limited,179,442.90,401.80,402.00,9503.00,3947890.50,434.90,-32.90 
Butwal Power Company Limited,118,342.50,330.00,331.30,11863.00,3968163.10,338.00,-6.70 
CEDB Hydropower Development Company Limited,133,784.00,758.00,774.90,9996.00,7680268.30,775.00,-0.10 
Central Finance Co. Ltd.,123,348.00,329.00,334.90,12132.00,4122190.60,340.00,-5.10 
Chandragiri Hills Limited,57,1081.20,1046.10,1046.10,2100.00,2215481.00,1060.00,-13.90 
Chhimek Laghubitta Bittiya Sanstha Limited,213,1050.00,1025.00,1029.00,9911.00,10239472.60,1030.00,-1.00 
Chhyangdi Hydropower Ltd.,98,295.00,270.00,271.00,15257.00,4226529.80,284.00,-13.00 
Chilime Hydropower Company Limited,107,409.00,399.00,399.00,11577.00,4649412.10,402.90,-3.90 
Citizen Investment Trust,587,2299.00,2190.00,2192.00,17167.00,38119010.30,2254.00,-62.00 
Citizens Bank International Limited,223,204.10,199.90,201.00,36396.00,7304479.50,200.10,0.90 
Citizens Mutual Fund -1,25,8.49,8.01,8.49,32700.00,266633.00,8.33,0.16 
CITIZENS MUTUAL FUND 2,6,8.75,8.53,8.53,8950.00,78081.00,8.87,-0.34 
Civil Bank Debenture 2088,2,881.00,880.20,881.00,55.00,48431.00,880.00,1.00 
Civil Laghubitta Bittiya Sanstha Ltd.,55,954.00,930.00,935.00,3255.00,3052036.90,955.00,-20.00 
Corporate Development Bank Limited,44,319.20,307.00,310.00,5587.00,1753511.90,313.00,-3.00 
Deprosc Laghubitta Bittiya Sanstha Limited,104,990.00,966.10,966.10,7790.00,7625524.50,980.00,-13.90 
Dibyashwori Hydropower Ltd.,63,225.00,213.30,214.00,5340.00,1164976.50,222.00,-8.00 
Dordi Khola Jal Bidyut Company Limited,740,374.00,334.00,353.00,37128.00,13250829.50,340.00,13.00 
Emerging Nepal Limited,55,727.90,688.00,690.00,2732.00,1896168.60,700.00,-10.00 
Everest Bank Limited,180,505.90,497.00,499.90,24378.00,12171747.80,501.20,-1.30 
Excel Development Bank Ltd.,98,366.00,345.00,349.90,10493.00,3699440.30,359.00,-9.10 
First Micro Finance Laghubitta Bittiya Sanstha Limited,74,714.00,699.00,699.90,6586.00,4633105.50,701.10,-1.20 
Forward Microfinance Laghubitta Bittiya Sanstha Limited,267,2703.00,2655.00,2665.00,10897.00,29180362.40,2662.00,3.00 
Ganapati Laghubitta Bittiya Sanstha Limited,15,963.90,935.00,935.00,366.00,345334.00,945.00,-10.00 
Garima Bikas Bank Limited,247,404.00,391.10,393.70,27359.00,10877855.90,400.00,-6.30 
Ghalemdi Hydro Limited,183,240.00,222.00,224.50,26814.00,6123879.00,233.00,-8.50 
Global IME Bank Limited Debenture 2086/87,2,760.00,759.20,759.20,25.00,18988.00,760.50,-1.30 
Global IME Laghubitta Bittiya Sanstha Ltd.,63,1336.00,1288.70,1305.00,2604.00,3380294.70,1310.10,-5.10 
Global IME Samunnat Scheme-1,8,9.82,9.50,9.82,10900.00,104258.50,9.65,0.17 
Goodwill Finance Limited,160,571.20,537.00,538.00,22051.00,12011815.60,560.00,-22.00 
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,71,791.00,751.00,765.90,4514.00,3452990.50,775.90,-10.00 
Green Development Bank Ltd.,55,274.90,254.80,255.00,6461.00,1694317.70,265.20,-10.20 
Green Ventures Limited,474,392.00,375.00,379.90,44741.00,17201597.70,378.30,1.60 
GreenLife Hydropower Limited,87,344.30,313.60,315.00,4351.00,1386985.20,320.00,-5.00 
Guheshowori Merchant Bank & Finance Co. Ltd.,78,367.20,350.20,356.00,17066.00,6083605.80,357.00,-1.00 
Gurans Laghubitta Bittiya Sanstha Limited,25,1190.00,1123.00,1156.00,942.00,1085721.78,1145.00,11.00 
Gurkhas Finance Ltd.,419,624.00,560.00,571.00,67318.00,39465196.60,590.00,-19.00 
Himal Dolakha Hydropower Company Limited,300,230.00,224.00,227.00,55737.00,12710607.50,225.00,2.00 
Himalaya Urja Bikas Company Limited,89,280.50,260.00,264.00,13958.00,3735730.00,275.00,-11.00 
Himalayan Bank Limited,175,331.00,320.00,323.00,13132.00,4271226.80,330.00,-7.00 
Himalayan Distillery Limited,417,3808.00,3752.00,3755.00,16227.00,61215192.30,3751.00,4.00 
Himalayan Everest Insurance Limited,469,450.40,424.00,432.20,106384.00,46151404.80,459.50,-27.30 
Himalayan Hydropower Limited,3911,333.60,309.30,333.60,74264.00,24693767.40,303.30,30.30 
Himalayan Power Partner Ltd.,90,392.80,377.50,392.80,15938.00,6133172.80,380.00,12.80 
Hydorelectricity Investment and Development Company Ltd,750,212.00,204.00,205.00,120233.00,24871623.60,207.90,-2.90 
ICFC Finance Limited,217,527.00,511.20,511.20,19140.00,9922354.60,520.00,-8.80 
IME General Insurance Ltd.,148,427.90,415.00,422.00,19516.00,8208272.60,420.50,1.50 
Infinity Laghubitta Bittiya Sanstha Limited,47,1017.00,980.00,994.00,1582.00,1573997.40,998.00,-4.00 
Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,308,3130.00,2976.00,3088.00,9168.00,28105521.90,2981.00,107.00 
Janaki Finance Company Limited,103,436.50,414.00,419.00,8749.00,3681771.30,428.00,-9.00 
Janautthan Samudayic Laghubitta Bittya Sanstha Limited,36,1957.00,1900.00,1903.00,935.00,1790444.80,1920.00,-17.00 
Jeevan Bikas Laghubitta Bittya Sanstha Ltd,279,2800.00,2740.00,2740.00,6032.00,16651519.90,2755.00,-15.00 
Joshi Hydropower Development Company Ltd,77,244.80,232.00,232.00,7963.00,1886899.60,238.80,-6.80 
Jyoti Bikas Bank Limited,304,309.40,298.00,298.00,44795.00,13553161.10,304.00,-6.00 
Kalika Laghubitta Bittiya Sanstha Ltd,48,1100.00,1070.00,1089.50,2963.00,3203995.50,1090.00,-0.50 
Kalika power Company Ltd,56,413.00,403.40,403.40,6847.00,2780186.90,410.00,-6.60 
Kamana Sewa Bikas Bank Limited,234,358.00,343.00,343.00,31258.00,10957152.80,352.00,-9.00 
Karnali Development Bank Limited,115,262.00,241.00,241.20,14128.00,3521985.60,252.00,-10.80 
Khanikhola Hydropower Co. Ltd.,67,233.40,222.00,225.00,7489.00,1699352.00,228.90,-3.90 
Kisan Lagubitta Bittiya Sanstha Limited,16,977.00,921.20,931.60,1534.00,1473082.30,959.00,-27.40 
Kumari Bank Limited,210,205.90,202.00,202.00,42620.00,8655801.00,203.70,-1.70 
Kumari Dhanabriddhi Yojana,19,9.02,8.54,8.85,2100.00,18516.00,8.71,0.14 
Kumari Equity Fund,21,8.98,8.34,8.51,10650.00,90664.95,8.51,0.00 
Laxmi Bank Limited,104,203.00,199.00,199.00,21124.00,4222780.50,199.50,-0.50 
Laxmi Equity Fund,25,8.78,8.50,8.58,1978320.00,16817636.60,8.61,-0.03 
Laxmi Laghubitta Bittiya Sanstha Ltd.,52,1305.00,1255.00,1255.00,2265.00,2859926.00,1304.00,-49.00 
Laxmi Unnati Kosh,4,8.89,8.80,8.80,4100.00,36179.00,8.75,0.05 
Liberty Energy Company Limited,58,273.00,257.00,267.00,5772.00,1511236.40,269.00,-2.00 
Life Insurance Corporation (Nepal) Limited,86,1440.00,1420.00,1422.10,5159.00,7361213.90,1427.00,-4.90 
Lumbini Bikas Bank Ltd.,228,403.80,385.00,386.00,41530.00,16365928.30,396.10,-10.10 
Machhapuchhre Bank Limited,190,238.00,230.30,232.00,35278.00,8235021.00,236.00,-4.00 
Madhya Bhotekoshi Jalavidyut Company Limited,403,259.00,243.00,243.20,15263.00,3746118.90,248.00,-4.80 
Mahalaxmi Bikas Bank Ltd.,323,402.50,389.00,389.00,54982.00,21655552.40,395.00,-6.00 
Mahila Lagubitta Bittiya Sanstha Limited,65,3886.00,3770.00,3820.00,1026.00,3932823.70,3810.00,10.00 
Mahuli Laghubitta Bittiya Sanstha Limited,15,1230.00,1180.00,1185.00,485.00,574879.00,1209.00,-24.00 
Mailung Khola Jal Vidhyut Company Limited,88,489.60,467.10,467.10,5339.00,2537886.30,480.00,-12.90 
Manakamana Smart Laghubitta Bittiya Sanstha Limited,39,1054.00,1017.00,1035.00,757.00,774748.00,1024.10,10.90 
Manjushree Finance Ltd.,193,453.90,433.00,433.00,17183.00,7593793.20,445.00,-12.00 
Manushi Laghubitta Bittiya Sanstha Limited,29,1250.00,1190.00,1250.00,735.00,887775.00,1242.00,8.00 
Mega Mutual Fund -1,35,8.03,7.73,8.00,11450.00,90284.30,7.73,0.27 
Mero Microfinance Bittiya Sanstha Ltd.,57,884.00,860.00,865.00,2890.00,2525269.20,867.00,-2.00 
Mirmire Microfinance Development Bank Ltd.,80,1080.00,1029.00,1049.00,5033.00,5241710.60,1079.70,-30.70 
Miteri Development Bank Limited,64,391.00,378.00,380.00,11560.00,4439311.50,385.00,-5.00 
Mithila LaghuBitta Bittiya Sanstha Limited,64,1270.00,1239.90,1249.00,6137.00,7690070.10,1291.00,-42.00 
Mountain Energy Nepal Limited,51,891.00,865.00,875.00,4471.00,3930392.00,880.00,-5.00 
Mountain Hydro Nepal Limited,182,308.00,285.00,287.00,35143.00,10258538.50,296.20,-9.20 
Muktinath Bikas Bank Ltd.,222,450.00,440.00,440.00,20354.00,9049282.60,444.00,-4.00 
Muktinath Bikas Bank Ltd. Promoter Share,1,237.00,237.00,237.00,10000.00,2370000.00,237.00,0.00 
Multipurpose Finance Company Limited,113,314.10,285.00,298.00,15648.00,4694364.60,306.00,-8.00 
NABIL BALANCED FUND-2,5,10.00,9.82,9.82,2100.00,20712.00,10.00,-0.18 
Nabil Balanced Fund-3,20,8.33,8.15,8.20,8530.00,69916.00,8.24,-0.04 
Nabil Bank Limited,910,804.00,790.00,793.00,56771.00,45115351.60,790.00,3.00 
Nabil Equity Fund,4,9.50,9.40,9.49,13966.00,132099.04,9.26,0.23 
Narayani Development Bank Limited,38,483.40,462.60,468.00,5087.00,2392459.70,474.00,-6.00 
National Hydro Power Company Limited,458,266.80,252.00,254.00,75490.00,19505012.40,262.00,-8.00 
National Life Insurance Co. Ltd.,111,599.00,578.30,580.00,10620.00,6243295.50,590.00,-10.00 
National Microfinance Laghubitta Bittiya Sanstha Limited,201,2388.80,2307.00,2307.00,7732.00,18083314.70,2342.00,-35.00 
Naya Sarathi Laghubitta Bittiya Sanstha Limited,33,887.00,841.00,855.00,1508.00,1290104.20,870.10,-15.10 
Neco Insurance Limited,90,734.40,705.00,705.10,9895.00,7069016.10,705.00,0.10 
Nepal Bank Limited,200,292.00,285.00,286.50,24352.00,6990210.10,286.30,0.20 
Nepal Credit And Commercial Bank Limited,291,210.80,206.00,206.80,115030.00,23916133.10,208.00,-1.20 
Nepal Doorsanchar Company Limited,526,895.00,865.00,865.00,41166.00,36094571.40,880.00,-15.00 
Nepal Finance Ltd.,246,311.80,292.50,295.00,26644.00,8016685.00,306.00,-11.00 
Nepal Hydro Developers Ltd.,69,424.60,400.20,406.00,13748.00,5567569.90,407.00,-1.00 
Nepal Infrastructure Bank Limited,693,239.00,233.20,234.00,58253.00,13662311.70,235.00,-1.00 
Nepal Insurance Co. Ltd.,68,490.00,475.00,475.10,5798.00,2787859.30,487.00,-11.90 
Nepal Life Insurance Co. Ltd.,454,732.00,712.90,712.90,30516.00,22000516.10,724.00,-11.10 
Nepal Reinsurance Company Limited,405,790.00,754.60,755.00,27752.00,21375461.70,776.00,-21.00 
Nepal SBI Bank Limited,64,294.00,284.30,287.00,9878.00,2833191.50,290.00,-3.00 
Nerude Laghubitta Bittiya Sanstha Limited,57,984.00,944.00,944.00,6403.00,6123232.30,948.00,-4.00 
NESDO Sambridha Laghubitta Bittiya Sanstha Limited,561,3230.00,3130.00,3209.00,17102.00,54697592.20,3125.00,84.00 
Ngadi Group Power Ltd.,236,285.00,274.60,274.60,31083.00,8647098.90,279.00,-4.40 
NIBL Pragati Fund,3,9.30,9.25,9.26,4000.00,37078.25,9.40,-0.14 
NIBL Samriddhi Fund -2,9,8.05,7.71,8.05,1500.00,11797.00,7.82,0.23 
NIC Asia Balanced Fund,13,10.61,10.50,10.61,27875.00,294132.75,10.50,0.11 
NIC Asia Bank Ltd.,499,677.00,665.00,669.00,44403.00,29792160.90,674.00,-5.00 
NIC Asia Growth Fund,8,11.20,10.95,11.08,21003.00,232609.24,11.10,-0.02 
NIC ASIA Laghubitta Bittiya Sanstha Limited,112,894.00,866.00,866.10,3874.00,3389560.80,881.00,-14.90 
NIC Asia Select Fund 30,20,8.66,8.15,8.66,9750.00,80053.00,8.31,0.35 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,165,1022.00,1000.00,1001.00,11295.00,11379712.50,1014.00,-13.00 
NLG Insurance Company Ltd.,35,516.00,503.10,503.10,3170.00,1606873.40,507.20,-4.10 
NMB Microfinance Bittiya Sanstha Ltd.,46,802.90,772.30,772.30,1860.00,1456232.00,774.00,-1.70 
NMB 50,8,12.87,12.61,12.61,8848.00,112466.00,12.68,-0.07 
NMB Bank Limited,208,259.00,251.00,254.20,25733.00,6513256.10,255.10,-0.90 
NMB Hybrid Fund L-1,51,11.98,11.84,11.94,104724.00,1249130.17,11.87,0.07 
NRN Infrastructure and Development Limited,120,520.20,493.00,493.00,10699.00,5340741.50,510.00,-17.00 
Nyadi Hydropower Limited,120,362.10,338.30,340.00,4503.00,1571078.80,345.40,-5.40 
Oriental Hotels Limited,23,493.00,472.00,481.00,2318.00,1105609.60,484.00,-3.00 
Panchakanya Mai Hydropower Ltd,58,246.80,236.00,237.00,12645.00,3039141.60,242.00,-5.00 
Panchthar Power Compant Limited,73,355.00,343.30,343.30,14570.00,5058189.00,349.20,-5.90 
Pokhara Finance Ltd.,77,407.60,389.00,391.00,8959.00,3531185.60,391.90,-0.90 
Prabhu Bank Limited,306,210.00,206.20,206.50,58647.00,12163887.20,207.90,-1.40 
Prabhu Select Fund,25,8.27,8.16,8.18,34520.00,283015.85,8.30,-0.12 
Prime Commercial Bank Ltd.,274,242.00,237.80,240.00,37052.00,8860197.80,238.80,1.20 
Progressive Finance Limited,136,296.00,282.80,284.00,18656.00,5377289.60,293.00,-9.00 
Prudential Insurance Co. Ltd.,56,401.70,384.00,400.00,8297.00,3233307.30,393.90,6.10 
Radhi Bidyut Company Ltd,145,586.40,560.70,570.60,16944.00,9740547.40,571.90,-1.30 
Rastra Utthan Laghubitta Sanstha Limited,83,1140.00,1099.00,1114.00,1992.00,2226584.00,1120.00,-6.00 
Rastriya Beema Company Limited,35,14000.00,13765.00,13800.00,477.00,6621462.00,13860.00,-60.00 
Rastriya Beema Company Limited Promoter Share,12,11470.00,11201.00,11300.00,340.00,3833708.00,11423.00,-123.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,140,268.90,259.70,260.00,20695.00,5431123.30,264.00,-4.00 
RBB Mutual Fund 1,12,8.10,7.96,8.10,4050.00,32384.00,8.04,0.06 
Reliance Finance Ltd.,138,371.00,352.00,357.00,20545.00,7337674.80,359.10,-2.10 
River Falls Power Limited,444,297.00,285.00,288.60,17515.00,5117009.50,290.00,-1.40 
RMDC Laghubitta Bittiya Sanstha Ltd.,50,885.00,861.00,861.00,3032.00,2638835.00,871.00,-10.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,50,596.70,576.00,576.00,2453.00,1427872.00,575.00,1.00 
Ru Ru Jalbidhyut Pariyojana Limited,19,821.00,790.00,817.00,286.00,230551.00,800.00,17.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,46,1110.00,1060.00,1080.00,2193.00,2368275.70,1062.00,18.00 
Sadhana Laghubitta Bittiya Sanstha Limited,37,1071.00,1033.00,1044.00,1060.00,1100142.40,1052.00,-8.00 
Sahas Urja Limited,430,552.80,533.10,533.30,20276.00,10925491.40,542.00,-8.70 
Salt Trading Corporation,88,4199.00,4050.00,4120.00,2576.00,10582108.50,4128.00,-8.00 
Samata Gharelu Laghubitta Bittiya Sanstha Limited,24,886.50,852.10,870.00,1174.00,1010249.90,872.00,-2.00 
Samling Power Company Limited,121,563.00,525.10,525.10,11079.00,6022143.50,552.00,-26.90 
Samriddhi Finance Company Limited,281,306.00,280.00,283.20,45956.00,13388510.80,298.00,-14.80 
Samudayik Laghubitta Bittiya Sanstha Limited,25,1460.00,1433.00,1435.00,1163.00,1684927.10,1429.50,5.50 
Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,147,1115.80,1082.00,1082.00,13741.00,15111110.70,1094.00,-12.00 
Sanima Bank Limited,183,258.00,253.30,254.10,21981.00,5613685.30,254.00,0.10 
Sanima Equity Fund,15,12.85,12.44,12.85,54100.00,682606.00,12.62,0.23 
Sanima Large Cap Fund,12,8.10,7.90,8.10,18800.00,150086.00,8.15,-0.05 
Sanima Mai Hydropower Ltd.,240,328.40,317.50,320.00,54310.00,17503470.80,322.00,-2.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,79,274.00,259.00,259.00,7468.00,1964198.30,264.00,-5.00 
Saptakoshi Development Bank Ltd,66,256.00,245.00,245.00,10561.00,2645665.40,250.10,-5.10 
Shangrila Development Bank Ltd.,158,326.00,315.00,317.00,34400.00,11005355.70,320.10,-3.10 
Shikhar Insurance Co. Ltd.,144,844.40,817.00,818.00,6403.00,5292290.10,828.00,-10.00 
Shine Resunga Development Bank Ltd.,135,320.00,310.70,313.00,25612.00,8058964.70,314.00,-1.00 
Shiva Shree Hydropower Ltd,103,243.70,227.00,232.10,13878.00,3288552.80,236.10,-4.00 
SHIVAM CEMENTS LTD,1112,755.00,730.00,733.00,98296.00,72794737.00,747.00,-14.00 
Shree Investment Finance Co. Ltd.,87,358.00,335.00,337.00,14963.00,5181526.90,352.00,-15.00 
Siddhartha Bank Limited,215,311.50,305.70,306.00,35449.00,10925950.90,308.40,-2.40 
Siddhartha Equity Fund,8,9.82,9.56,9.82,22790.00,220404.40,9.65,0.17 
Siddhartha Investment Growth Scheme - 2,33,9.89,9.70,9.73,147718.00,1439990.21,9.70,0.03 
Sindhu Bikash Bank Ltd,52,304.00,288.00,290.00,6063.00,1784184.00,290.40,-0.40 
Singati Hydro Energy Limited,76,297.00,284.00,285.00,7047.00,2034682.00,288.10,-3.10 
Soaltee Hotel Limited,106,219.80,212.20,213.00,60194.00,12938952.00,219.00,-6.00 
Standard Chartered Bank Limited,90,437.00,425.00,430.00,11210.00,4815760.70,429.00,1.00 
Summit Laghubitta Bittiya Sanstha Limited,23,910.00,880.00,881.00,3040.00,2705191.00,895.00,-14.00 
Sunrise Bank Limited,123,210.00,206.00,207.00,19601.00,4059087.30,209.20,-2.20 
Sunrise Bluechip Fund,8,8.36,8.04,8.11,14100.00,114514.00,8.20,-0.09 
Sunrise First Mutual Fund,5,11.65,11.50,11.65,43400.00,499290.00,11.50,0.15 
Support Microfinance Bittiya Sanstha Ltd.,10,1345.00,1317.00,1345.00,220.00,294175.00,1340.00,5.00 
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,87,852.00,800.00,806.00,3123.00,2550218.50,823.00,-17.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,134,1315.00,1290.00,1290.00,19903.00,25872160.80,1293.00,-3.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,14,1581.00,1530.00,1560.00,487.00,758377.00,1550.00,10.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,55,990.00,953.00,957.00,5320.00,5149792.20,971.00,-14.00 
Synergy Power Development Ltd.,148,341.00,327.00,329.00,19739.00,6548081.50,335.00,-6.00 
Taragaon Regency Hotel Limited,12,365.00,345.00,346.00,1080.00,381290.00,352.00,-6.00 
Terhathum Power Company Limited,124,498.00,467.00,468.00,11437.00,5430496.00,490.00,-22.00 
Unilever Nepal Limited,57,20250.00,18868.00,18905.00,860.00,16545143.00,20600.00,-1695.00 
Union Hydropower Limited,201,257.00,238.00,243.00,38565.00,9500013.00,247.10,-4.10 
United IDI Mardi RB Hydropower Limited.,132,699.90,656.00,657.00,15436.00,10362054.00,668.00,-11.00 
United Insurance Co. (Nepal) Ltd.,87,420.20,386.00,387.00,16495.00,6488144.80,396.50,-9.50 
United Modi Hydropower Ltd.,274,299.80,286.00,289.90,79385.00,23178197.80,294.00,-4.10 
UNIVERSAL POWER COMPANY LTD,358,268.20,257.00,257.00,100620.00,26302480.30,264.00,-7.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,53,1035.00,990.10,1000.00,2121.00,2142463.40,1030.00,-30.00 
Upakar Laghubitta Bittiya Sanstha Limited,114,3815.00,3701.00,3799.00,2995.00,11231313.80,3814.80,-15.80 
Upper Hewakhola Hydropower Company Limited,50,143.20,130.20,143.20,194.00,26058.10,0.00,13.00 
Upper Tamakoshi Hydropower Ltd,395,496.00,481.00,481.00,50811.00,24803904.00,489.20,-8.20 
Vijaya laghubitta Bittiya Sanstha Ltd.,58,1018.00,990.00,990.00,2592.00,2590822.70,1026.00,-36.00 
Wean Nepal Laghubitta Bittiya Sanstha Limited,20,1091.00,1067.60,1080.00,565.00,606328.50,1088.00,-8.00 
